volMax pesoMax custo matricula
391 395 13796 ME24LN
325 316 13378 LF11FI
255 275 13025 RC14CX
343 277 15226 GG16KF
344 306 14015 NQ18XW
365 259 16982 FN54ZV
288 346 13476 SR34JP
382 304 14967 RE74GX
256 289 14860 RP31VY
265 274 14952 ST02CY
287 342 15977 SY48QP
393 377 16543 EV00EF
366 375 15556 FM93IM
259 354 13356 KK66VW
365 301 13406 SR63ZK
394 379 13241 YC91XT
281 287 14581 LS40PS
262 384 15363 FA15OO
397 321 13931 EF73BC
268 346 14777 OE16VP
296 271 13742 VA12YG
394 351 15473 PO60LF
336 345 14342 PB77LJ
292 316 16581 VR98PY
398 378 15048 AM60HW
368 308 16575 QN25QP
355 322 13718 MX83JL
285 258 13044 OO16OW
292 289 14548 UX89MS
335 265 15168 NC39CO
277 399 14862 KS77KV
259 310 16154 AT71KN
278 386 16833 LY96HF
308 371 13865 IX96WN
310 387 14105 KK49NU
258 289 14932 XX33ZB
370 366 13618 MN80QO
253 386 13481 OK81LY
385 254 14819 HN22AU
395 315 16790 GZ07CD
328 398 13956 DI61EI
309 377 15136 OJ86YY
388 268 14521 ZP92CM
262 389 15106 PS21LF
335 383 16287 VG29FA
378 272 15057 AO39ZY
335 381 15531 LN53KD
376 262 16090 CP86RT
287 304 15787 ES94HD
360 331 15444 IZ82BZ
