volume peso recompensa
16 13 671
19 22 735
20 26 1863
16 28 875
26 20 1645
16 16 772
23 23 1366
25 16 620
26 22 1628
10 7 1801
22 13 226
6 3 453
19 26 836
29 22 561
10 10 1856
20 23 1325
23 23 1366
19 19 1956
19 22 735
16 3 836
7 16 789
22 22 265
19 6 324
6 29 1800
16 29 1730
20 7 386
10 29 1065
13 3 203
13 16 1785
25 19 1753
6 6 1921
10 10 553
3 13 530
10 10 553
3 13 1502
16 28 1821
7 26 1257
29 19 1268
16 28 935
19 22 1804
23 7 936
19 25 854
20 23 1325
22 25 224
28 22 1166
25 13 609
22 29 1500
9 25 849
26 10 574
3 10 984
19 9 1059
20 23 1236
22 3 1565
6 19 996
7 20 1241
9 16 814
19 3 1982
6 10 465
26 19 1397
10 29 676
13 29 719
22 25 1227
3 10 984
28 16 327
13 22 590
19 25 1263
3 10 1475
3 19 1432
3 3 699
16 23 746
13 10 738
10 26 1229
6 29 1800
13 13 1679
6 22 794
7 26 634
6 3 1176
16 16 772
19 22 1260
19 22 1719
13 16 1785
25 28 221
22 28 1002
9 25 1529
13 25 550
22 19 287
16 22 491
9 25 849
22 28 1002
29 26 719
3 19 952
23 26 1594
13 20 1951
7 16 789
23 13 206
16 3 1518
19 13 1040
16 19 1873
29 13 1014
3 13 1502
25 6 647
20 13 848
13 23 560
23 29 1789
23 7 983
20 13 1542
20 3 1785
13 3 203
28 9 1185
13 13 967
22 10 1079
13 25 1467
25 22 580
22 16 982
6 22 666
28 6 1953
20 13 1054
16 29 1083
25 6 653
25 6 216
29 16 584
13 9 1857
7 29 743
16 29 1002
19 22 1804
10 3 1886
3 23 571
19 22 1200
20 20 418
29 16 1442
6 10 465
22 16 1598
13 16 1838
26 26 1261
7 26 1257
29 20 1991
6 3 615
22 6 683
25 16 1200
28 19 828
9 6 748
16 29 1142
19 13 1784
16 10 1081
13 3 795
19 10 1820
22 9 1805
6 6 1921
29 29 1019
13 10 1614
9 9 1137
6 3 1176
6 19 1185
16 28 1821
3 9 1558
3 23 571
13 25 1467
19 9 1897
19 19 1437
23 7 983
6 13 1201
16 3 279
19 6 1204
16 3 1518
7 7 1524
13 22 590
3 16 220
9 22 909
10 6 1747
3 19 1928
28 6 1208
19 13 884
16 19 1873
23 26 1594
23 23 1366
13 29 626
16 3 477
3 13 1210
16 29 1694
23 29 1232
