volMax pesoMax custo matricula
343 277 15226 MU11PP
325 316 13378 SU48BA
394 379 13241 UX03EC
287 342 15977 HL08RP
325 316 13378 NK78BP
328 398 13956 WE83GJ
292 316 16581 PA56OW
382 304 14967 DQ66XY
262 384 15363 JB91AW
335 265 15168 YD65RJ
343 277 15226 XP92OH
268 346 14777 KW44UH
262 384 15363 QZ73BN
393 377 16543 UV83QQ
355 322 13718 RZ95XI
325 316 13378 GV30EX
355 322 13718 ZU74SR
309 377 15136 RU81OJ
398 378 15048 RZ22ZP
259 354 13356 WK36LE
366 375 15556 RA80DI
328 398 13956 PN10UH
325 316 13378 XP05JW
365 259 16982 MW85XM
388 268 14521 SN39LQ
309 377 15136 RZ61LT
394 379 13241 ZO34JT
265 274 14952 ZX24LS
287 304 15787 SM74NO
259 354 13356 KV74JF
365 301 13406 MX01HO
278 386 16833 KB31WU
287 304 15787 WL59RI
368 308 16575 PM81CH
268 346 14777 RI68BA
256 289 14860 XB45CB
255 275 13025 EY13UG
285 258 13044 XW31VT
376 262 16090 EH55CP
259 310 16154 IF79VF
344 306 14015 CG80FQ
296 271 13742 KC09ZG
258 289 14932 UB63RM
265 274 14952 SZ94SH
393 377 16543 RO45WS
394 379 13241 RX19GU
287 304 15787 YU53WW
365 259 16982 IQ63PI
370 366 13618 IQ53DU
385 254 14819 VE46WQ
368 308 16575 UD51EF
310 387 14105 JH60MU
308 371 13865 ZF62UI
398 378 15048 UB43IS
397 321 13931 TB98CU
355 322 13718 KA51CV
278 386 16833 DZ21TO
268 346 14777 DU02HJ
378 272 15057 EF89ZZ
395 315 16790 FK25PQ
256 289 14860 IK70BU
268 346 14777 DH35XD
365 259 16982 GK14LR
344 306 14015 PA92MC
325 316 13378 RO44IT
385 254 14819 PT90CL
309 377 15136 FK69JY
391 395 13796 IH38QA
343 277 15226 BN41XN
287 304 15787 VG56DY
262 384 15363 HN60CD
281 287 14581 UD41HM
328 398 13956 CK67RW
394 379 13241 SP21GH
292 316 16581 OZ41LQ
382 304 14967 XW88MF
310 387 14105 DY60MD
378 272 15057 AS36GO
395 315 16790 SO12JG
335 265 15168 CW45MX
370 366 13618 MH86FY
388 268 14521 GA38KC
287 304 15787 LZ78YX
287 304 15787 KQ08ZW
370 366 13618 YU55AZ
277 399 14862 PK78TK
287 342 15977 DZ89CU
344 306 14015 PU55MB
385 254 14819 SG46YR
292 289 14548 ZV51HP
393 377 16543 AM54FY
308 371 13865 AR90VK
