volume peso recompensa
23 16 868
25 13 1251
26 22 1628
20 13 1542
9 9 1137
6 26 1291
3 23 1410
3 19 1432
22 16 982
3 20 1645
13 3 621
10 3 1886
26 16 403
3 16 501
3 13 1907
23 16 1918
25 28 724
6 6 564
13 26 396
13 22 590
29 16 1051
16 13 707
19 25 854
6 3 1347
29 20 1991
25 19 1889
3 13 472
7 13 898
19 3 762
16 19 1193
7 23 1303
25 16 620
19 19 1437
29 20 1160
19 19 873
6 19 1591
3 10 579
19 25 1263
16 13 1718
3 20 1263
22 13 293
3 19 600
7 26 634
3 9 1558
26 26 1790
26 20 971
13 9 820
16 10 1508
23 26 1520
22 13 667
26 22 1348
3 7 1565
25 6 216
29 29 763
23 20 1536
22 19 783
16 6 1332
7 3 1823
28 6 1065
16 10 1081
7 20 1880
16 28 1821
26 6 1627
13 10 483
25 28 221
26 26 496
13 20 1925
6 28 1820
29 29 1019
26 26 716
25 28 521
19 13 1784
16 20 816
25 28 1909
10 10 588
26 29 1233
19 6 1204
13 3 466
7 20 412
19 9 1059
22 3 480
13 10 738
9 22 909
10 10 1856
7 26 1166
25 6 653
19 22 1719
3 13 633
22 16 1819
26 22 1487
20 10 1663
25 6 647
16 6 755
16 10 1309
9 19 1281
22 16 644
10 3 547
16 22 1579
16 29 1694
26 7 738
6 22 794
22 3 338
10 26 410
19 22 735
19 13 1688
29 26 719
6 3 615
22 19 287
23 20 437
9 22 452
19 13 1537
13 26 1253
25 19 1753
6 10 1572
10 26 1229
13 25 1467
13 26 1073
10 10 1285
9 19 775
16 29 1739
16 29 533
9 6 748
22 13 709
3 3 575
28 9 1185
6 19 486
16 13 654
3 22 1662
16 3 262
3 10 1475
6 3 453
22 16 1175
29 10 1463
3 13 1889
6 29 1800
7 7 1524
19 13 1904
6 29 1859
3 3 715
13 13 1714
22 10 1079
13 29 719
3 16 1456
13 3 795
13 13 1008
22 13 1897
29 22 561
29 26 1724
19 25 844
6 26 1143
16 26 1789
16 19 1873
26 19 244
23 13 206
3 16 220
6 6 631
10 3 1641
9 13 211
26 16 1296
16 29 1593
25 16 1200
6 16 1023
13 10 1614
3 19 952
22 13 226
20 10 1569
22 25 1227
10 19 1278
23 29 1789
25 25 371
22 22 930
13 29 1255
9 25 1529
22 16 1598
20 26 1863
19 22 1804
6 13 1201
20 7 386
25 22 1331
16 19 234
10 13 419
25 28 1521
13 3 203
3 13 1502
28 16 827
29 29 969
3 20 1434
13 3 455
16 13 1477
26 20 1645
13 25 550
16 13 671
23 26 1594
13 6 223
26 10 574
16 23 746
3 19 1928
16 10 396
7 23 907
22 3 1492
29 10 483
23 23 1382
3 13 685
22 19 1628
20 23 1236
22 25 914
6 22 562
3 16 1796
6 6 1445
26 13 1295
10 7 1801
3 13 1210
16 29 1883
29 20 1704
19 3 1814
19 3 784
10 29 1488
28 19 828
16 6 1188
13 23 1714
13 3 699
26 19 1397
7 7 501
9 13 1442
19 6 217
10 16 1202
19 25 305
26 6 1156
29 13 1014
6 19 1243
3 22 940
7 29 743
16 28 875
10 29 676
23 26 1913
16 6 1907
10 13 347
7 16 789
9 25 849
6 22 597
3 23 571
13 16 1838
26 22 1065
7 13 734
19 3 1982
19 22 1260
10 29 1065
28 22 330
10 6 1765
3 10 984
6 16 618
3 3 355
7 10 1672
22 28 1002
26 26 1170
7 20 1577
22 19 602
6 6 779
26 29 267
19 28 486
16 3 279
7 26 1257
22 9 1805
6 16 647
20 20 418
19 9 1897
22 22 318
29 16 584
16 22 491
16 3 477
29 20 1972
9 16 814
13 6 1475
7 20 1241
16 28 1863
22 10 1233
20 13 848
22 22 626
13 10 629
29 16 1442
19 16 1319
19 16 1012
20 16 1200
25 22 580
19 6 324
10 13 414
28 6 1953
16 29 1142
13 3 690
19 28 213
22 29 1448
26 7 618
19 28 512
6 13 1713
3 13 1313
16 16 1633
6 29 834
20 3 1785
16 28 935
16 29 1083
7 7 828
28 6 1636
3 19 901
20 16 823
9 6 1467
3 13 355
20 23 1551
22 28 1717
29 10 243
13 23 916
19 3 638
10 22 1694
13 26 1639
19 3 1547
13 6 1062
20 7 894
19 16 1489
19 19 1990
29 26 1522
16 3 704
16 16 878
13 29 626
28 6 1208
19 19 1956
7 29 598
19 3 522
26 26 1261
20 13 1054
6 19 996
19 22 691
20 23 204
9 9 427
19 13 884
3 10 1791
19 13 1040
6 22 666
10 13 1315
13 6 1987
16 29 1002
29 23 1148
22 6 683
10 6 542
23 29 957
16 16 706
19 22 1897
13 13 967
25 13 546
19 13 1875
29 10 1657
3 13 1306
16 3 227
13 20 1951
13 6 1699
22 19 470
13 23 560
25 22 861
19 22 1440
23 23 1366
28 19 1240
26 6 774
23 7 936
19 16 1351
19 26 309
7 10 1630
22 22 265
29 19 1268
23 29 1232
28 16 327
22 3 1565
13 16 1785
13 6 580
22 29 1500
7 16 764
28 25 952
10 19 709
20 13 636
16 3 1518
10 6 1747
23 3 1396
25 22 471
26 22 1513
3 3 699
3 13 530
6 10 465
3 13 751
6 6 1058
3 3 1563
10 23 1205
6 19 1185
19 26 836
7 13 1210
6 19 406
16 16 772
3 23 697
19 22 1200
13 10 606
23 7 983
22 28 347
16 16 527
23 20 1786
22 9 1509
6 10 713
20 16 851
25 13 609
22 10 1848
3 16 1391
28 22 1166
26 29 610
16 29 1730
6 6 1921
26 22 1165
23 16 1936
13 6 490
10 29 1194
23 23 881
19 6 1813
6 3 1176
13 13 1679
28 6 707
26 16 1303
7 3 1607
13 9 1857
19 29 1523
10 26 1843
6 6 442
19 10 1820
7 10 801
3 22 1768
3 16 1105
16 3 836
22 25 224
10 10 553
13 16 1894
3 16 753
29 16 1369
20 23 1325
13 25 1026
19 6 1108
13 13 1710
16 16 287
